date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:02	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2029%20Aug%202023%2013:27:04%20GMT	https://tropicals-stellar-site-0d5875.webflow.io/robots.txt		(from )
14:27:02	42169/42169	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Aug%202023%2013:27:04%20GMT	https://tropicals-stellar-site-0d5875.webflow.io/	C:/Users/felip/Downloads/webflow/TTwebflow/tropicals-stellar-site-0d5875.webflow.io/index.html	(from )
14:27:03	110596/110596	---M-Z	200	added ('OK')	text/css	etag:%22961ad69c74686879ba2d877d4518e4af%22	https://uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/css/tropicals-stellar-site-0d5875.webflow.fc7f7176b.css	C:/Users/felip/Downloads/webflow/TTwebflow/uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/css/tropicals-stellar-site-0d5875.webflow.fc7f7176b.css	(from https://tropicals-stellar-site-0d5875.webflow.io/)
14:27:03	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/felip/Downloads/webflow/TTwebflow/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://tropicals-stellar-site-0d5875.webflow.io/)
14:27:04	1303/1303	---M--	200	added ('OK')	image/png	etag:%2237a37cd2c77cb313ca86ebe78abffa85%22	https://uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64ecdf5568b126ab3c7c11ef_logo-icon%20small.png	C:/Users/felip/Downloads/webflow/TTwebflow/uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64ecdf5568b126ab3c7c11ef_logo-icon%20small.png	(from https://tropicals-stellar-site-0d5875.webflow.io/)
14:27:04	19688/19688	---M--	200	added ('OK')	image/png	etag:%221295437f15eaac4c4f0fc638fe4bf2c0%22	https://uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64ecdf5c8978761969dda2e2_logo-icon%20256.png	C:/Users/felip/Downloads/webflow/TTwebflow/uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64ecdf5c8978761969dda2e2_logo-icon%20256.png	(from https://tropicals-stellar-site-0d5875.webflow.io/)
14:27:05	2531/2531	---M--	200	added ('OK')	image/png	etag:%22207708a1cc38344ede4cea66a58939e5%22	https://uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64e9d0fb15d6f195cb689d49_Logo%20Icon%20Final%203.png	C:/Users/felip/Downloads/webflow/TTwebflow/uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64e9d0fb15d6f195cb689d49_Logo%20Icon%20Final%203.png	(from https://tropicals-stellar-site-0d5875.webflow.io/)
14:27:05	40066/40066	---M--	200	added ('OK')	image/png	etag:%228a12c0eeaaac54eadb7f518461e4f18b%22	https://uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64e9d28c862892bff8657f5d_Logo%20Icon%20Final%201.png	C:/Users/felip/Downloads/webflow/TTwebflow/uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64e9d28c862892bff8657f5d_Logo%20Icon%20Final%201.png	(from https://tropicals-stellar-site-0d5875.webflow.io/)
14:27:06	40950/40950	---M--	200	added ('OK')	image/png	etag:%22f49d10665651e705510a867225bf68c2%22	https://uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64e9d2ab7af8da9c4531ed33_Logo%20Icon%20Final%202.png	C:/Users/felip/Downloads/webflow/TTwebflow/uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64e9d2ab7af8da9c4531ed33_Logo%20Icon%20Final%202.png	(from https://tropicals-stellar-site-0d5875.webflow.io/)
14:27:06	98224/98224	---M--	200	added ('OK')	image/png	etag:%22a38af03912f3a6aa61b1336d012612ef%22	https://uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64e9d83f15d6f195cb6f67cc_Frame-1-2%201.png	C:/Users/felip/Downloads/webflow/TTwebflow/uploads-ssl.webflow.com/64e39c4187e5e46d8772e7ba/64e9d83f15d6f195cb6f67cc_Frame-1-2%201.png	(from https://tropicals-stellar-site-0d5875.webflow.io/)
